2026-02-01 13:39:14,378 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /res/decklogos/advanced_flashcards_logo.png ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,390 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /res/decklogos/advanced_flashcards_logo.png HTTP/1.1" 200 -
2026-02-01 13:39:14,391 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-02-01 13:39:14,423 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,425 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-02-01 13:39:14,433 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,436 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/groups?deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,439 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,442 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-02-01 13:39:14,455 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,456 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,458 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-02-01 13:39:14,459 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-02-01 13:39:14,466 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,467 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,470 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/groups?deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,482 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,483 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/health HTTP/1.1" 200 -
2026-02-01 13:39:14,485 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/groups?deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,502 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,505 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/groups?deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,514 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,518 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,521 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/health HTTP/1.1" 200 -
2026-02-01 13:39:14,521 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,525 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/ai HTTP/1.1" 200 -
2026-02-01 13:39:14,527 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/groups?deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,533 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,536 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/health HTTP/1.1" 200 -
2026-02-01 13:39:14,547 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,550 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/health HTTP/1.1" 200 -
2026-02-01 13:39:14,563 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,563 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,563 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,566 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/health HTTP/1.1" 200 -
2026-02-01 13:39:14,568 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/ai HTTP/1.1" 200 -
2026-02-01 13:39:14,575 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,580 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,583 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/ai HTTP/1.1" 200 -
2026-02-01 13:39:14,596 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,599 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/ai HTTP/1.1" 200 -
2026-02-01 13:39:14,607 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,607 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,610 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/ai HTTP/1.1" 200 -
2026-02-01 13:39:14,614 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,626 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,631 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,644 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,645 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,653 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,653 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,657 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,657 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,663 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-02-01 13:39:14,666 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,677 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,683 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,698 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,702 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,706 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/counts?&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,709 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/cards?status=active&deck_id=deck_7bb3a7af HTTP/1.1" 200 -
2026-02-01 13:39:14,721 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,726 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,732 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdown ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-02-01 13:39:14,735 | INFO | werkzeug | 47.188.42.192 - - [01/Feb/2026 13:39:14] "GET /api/breakdown?id=b47d70c8fc894d2e HTTP/1.1" 200 -
