2026-01-30 01:06:10,696 | INFO | advanced_flashcards | [READY] Advanced Flashcards WebApp started successfully. Open: http://127.0.0.1:8009 • http://192.168.0.129:8009
2026-01-31 00:38:45,371 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:38:45] "[36mGET /admin HTTP/1.1[0m" 304 -
2026-01-31 00:38:45,402 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:38:45,402 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:38:45] "[36mGET /styles.css HTTP/1.1[0m" 304 -
2026-01-31 00:38:45,438 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/admin/stats ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:38:45,454 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:38:45] "GET /api/admin/stats HTTP/1.1" 200 -
2026-01-31 00:38:45,467 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/version ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:38:45,467 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:38:45] "GET /api/version HTTP/1.1" 200 -
2026-01-31 00:38:45,467 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/admin/deck-config ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:38:45,467 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:38:45] "GET /api/admin/deck-config HTTP/1.1" 200 -
2026-01-31 00:38:45,496 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/whoami ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:38:45,496 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:38:45] "GET /api/whoami HTTP/1.1" 200 -
2026-01-31 00:40:23,590 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET / ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:40:23,605 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:40:23] "[36mGET / HTTP/1.1[0m" 304 -
2026-01-31 00:40:23,621 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:40:23,636 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:40:23] "[36mGET /styles.css HTTP/1.1[0m" 304 -
2026-01-31 00:40:23,652 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /app.js ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:40:23,652 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:40:23] "[36mGET /app.js HTTP/1.1[0m" 304 -
2026-01-31 00:40:23,683 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:40:23,683 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:40:23] "GET /api/me HTTP/1.1" 200 -
2026-01-31 00:40:23,683 | INFO | advanced_flashcards | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai/status ua=Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Sa
2026-01-31 00:40:23,683 | INFO | werkzeug | 47.188.42.192 - - [31/Jan/2026 00:40:23] "GET /api/ai/status HTTP/1.1" 200 -
